plz,stadtteil,preis,groesse,zimmer,a_name,link
10247,Friedrichshain,345000,52.58,2.0,2-zimmer-wohnung-mit-ost-west-ausrichtung-bezugsfrei-im-boxhagener-kiez,https://www.ebay-kleinanzeigen.de/s-anzeige/2-zimmer-wohnung-mit-ost-west-ausrichtung-bezugsfrei-im-boxhagener-kiez/2156267526-196-3353
10961,Kreuzberg,471500,65.0,2.0,toll-geschnitten-frisch-saniert-2-zimmer-wohnung-am-kreuzberger-landwehrkanal,https://www.ebay-kleinanzeigen.de/s-anzeige/toll-geschnitten-frisch-saniert-2-zimmer-wohnung-am-kreuzberger-landwehrkanal/2131600954-196-3377
10178,Mitte,317000,43.0,2.0,lichtdurchflutete-stadtwohnung-in-berliner-premium-lage,https://www.ebay-kleinanzeigen.de/s-anzeige/lichtdurchflutete-stadtwohnung-in-berliner-premium-lage/2156230963-196-3522
12103,Tempelhof,299000,61.0,2.0,schnell-sichern-charmante-altbauperle-nahe-u6-inkl-garagenstellplatz,https://www.ebay-kleinanzeigen.de/s-anzeige/schnell-sichern-charmante-altbauperle-nahe-u6-inkl-garagenstellplatz/2156231072-196-3405
13359,Gesundbrunnen,300000,55.34,2.0,bezugsfreie-2-zimmer-wohnung-im-soldiner-kiez,https://www.ebay-kleinanzeigen.de/s-anzeige/bezugsfreie-2-zimmer-wohnung-im-soldiner-kiez/2131618725-196-26762
12557,Köpenick,519750,78.1,3.0,achterdeck-provisionsfreier-neubau-in-koepenick-an-der-dahme,https://www.ebay-kleinanzeigen.de/s-anzeige/achterdeck-provisionsfreier-neubau-in-koepenick-an-der-dahme/1739666593-196-3366
13353,Wedding,499000,66.0,3.0,bezugsfrei-idyllischer-paerchentraum-in-parknaehe,https://www.ebay-kleinanzeigen.de/s-anzeige/bezugsfrei-idyllischer-paerchentraum-in-parknaehe/2156228195-196-3507
10178,Mitte,420000,45.0,2.0,bezugsfrei-ab-2023-hoechster-wohnkomfort-in-bestlage,https://www.ebay-kleinanzeigen.de/s-anzeige/bezugsfrei-ab-2023-hoechster-wohnkomfort-in-bestlage/2156228086-196-3522
12524,Köpenick,587700,104.89,4.0,helle-und-geraeumige-4-zimmer-wohnung-mit-loggia,https://www.ebay-kleinanzeigen.de/s-anzeige/helle-und-geraeumige-4-zimmer-wohnung-mit-loggia/2062446664-196-3368
12524,Köpenick,641800,109.92,3.0,3-zimmer-penthousewohnung-ca-109-m-mit-blick-ins-gruene-,https://www.ebay-kleinanzeigen.de/s-anzeige/3-zimmer-penthousewohnung-ca-109-m-mit-blick-ins-gruene-/2083715753-196-3368
