plz,stadtteil,preis,groesse,zimmer,a_name,link
12205,Steglitz,179000.0,51.0,1.5,vermietete-eigentumwohnung-in-licherfelde-west,https://www.ebay-kleinanzeigen.de/s-anzeige/vermietete-eigentumwohnung-in-licherfelde-west/2134474032-196-3415
10317,Lichtenberg,270000.0,56.62,2.0,vermietete-und-gepflegte-2-zimmer-wohnung-als-geldanlage-in-berlin-lichtenberg,https://www.ebay-kleinanzeigen.de/s-anzeige/vermietete-und-gepflegte-2-zimmer-wohnung-als-geldanlage-in-berlin-lichtenberg/1768858767-196-9684
13583,Spandau,180000.0,48.0,2.0,vermietete-2-zimmerwohnung-in-gepflegtem-altbau-mitten-in-spandau,https://www.ebay-kleinanzeigen.de/s-anzeige/vermietete-2-zimmerwohnung-in-gepflegtem-altbau-mitten-in-spandau/2019529616-196-3440
10553,Tiergarten,209900.0,44.61,2.0,zukunftsvorsorge-fuer-kapitalanleger-vermietetes-altbau-wohneigentum-in-moabit,https://www.ebay-kleinanzeigen.de/s-anzeige/zukunftsvorsorge-fuer-kapitalanleger-vermietetes-altbau-wohneigentum-in-moabit/1822427113-196-9663
12209,Lichterfelde,169000.0,36.0,1.5,helle-und-geraeumige-1-5-zimmer-wohnung-im-zentrum-von-berlin,https://www.ebay-kleinanzeigen.de/s-anzeige/helle-und-geraeumige-1-5-zimmer-wohnung-im-zentrum-von-berlin/2154470667-196-25899
10319,Lichtenberg,269000.0,63.0,3.0,schoene-sanierte-eigentumswohnung,https://www.ebay-kleinanzeigen.de/s-anzeige/schoene-sanierte-eigentumswohnung/2154460670-196-9680
12353,Neukölln,675000.0,136.62,4.0,provisionsfrei-4zimmer-136-m-fussbodenheizung-terrasse-sauna,https://www.ebay-kleinanzeigen.de/s-anzeige/provisionsfrei-4zimmer-136-m-fussbodenheizung-terrasse-sauna/2154455671-196-3388
12555,Köpenick,203000.0,39.26,1.0,helles-studio-mit-balkon-im-herzen-der-koepenicker-altstadt-,https://www.ebay-kleinanzeigen.de/s-anzeige/helles-studio-mit-balkon-im-herzen-der-koepenicker-altstadt-/2154454687-196-3365
14167,Zehlendorf,259000.0,68.0,3.0,eigentumswohnung-drei-zimmer-sanierungsbeduerfitig-in-zehlendorf,https://www.ebay-kleinanzeigen.de/s-anzeige/eigentumswohnung-drei-zimmer-sanierungsbeduerfitig-in-zehlendorf/2154434124-196-3526
12169,Steglitz,429000.0,70.0,3.0,immoberlin-de-sonnige-wohnung-mit-westbalkon-in-sehr-attraktiver-lage,https://www.ebay-kleinanzeigen.de/s-anzeige/immoberlin-de-sonnige-wohnung-mit-westbalkon-in-sehr-attraktiver-lage/2075893442-196-3420
